Neighborhood,topic,displayTopic,indicator,value,type
Beaver Hills,income,Income,Low-income rate,0.472,map
Dixwell,income,Income,Low-income rate,0.54,map
Downtown,income,Income,Low-income rate,0.388,map
Dwight,income,Income,Low-income rate,0.712,map
East Rock,income,Income,Low-income rate,0.283,map
East Shore,income,Income,Low-income rate,0.127,map
Edgewood,income,Income,Low-income rate,0.458,map
Fair Haven,income,Income,Low-income rate,0.635,map
Fair Haven Heights,income,Income,Low-income rate,0.445,map
Hill,income,Income,Low-income rate,0.729,map
Newhallville,income,Income,Low-income rate,0.626,map
Prospect Hill,income,Income,Low-income rate,0.313,map
Quinnipiac Meadows,income,Income,Low-income rate,0.419,map
West River,income,Income,Low-income rate,0.604,map
West Rock,income,Income,Low-income rate,0.559,map
Westville,income,Income,Low-income rate,0.196,map
Wooster Square/Mill River,income,Income,Low-income rate,0.499,map
New Haven,income,Income,Low-income rate,0.488,table
Connecticut,income,Income,Low-income rate,0.131,table
Amity,income,Income,Population high-income,834.0,table
Annex,income,Income,Population high-income,817.0,table
Beaver Hills,income,Income,Population high-income,1129.0,table
Dixwell,income,Income,Population high-income,537.0,table
Downtown,income,Income,Population high-income,1906.0,table
Dwight,income,Income,Population high-income,455.0,table
East Rock,income,Income,Population high-income,3235.0,table
East Shore,income,Income,Population high-income,2010.0,table
Edgewood,income,Income,Population high-income,848.0,table
Fair Haven,income,Income,Population high-income,709.0,table
Fair Haven Heights,income,Income,Population high-income,1365.0,table
Hill,income,Income,Population high-income,1065.0,table
Newhallville,income,Income,Population high-income,278.0,table
Prospect Hill,income,Income,Population high-income,1054.0,table
Quinnipiac Meadows,income,Income,Population high-income,1088.0,table
West River,income,Income,Population high-income,410.0,table
West Rock,income,Income,Population high-income,708.0,table
Westville,income,Income,Population high-income,3223.0,table
Wooster Square/Mill River,income,Income,Population high-income,770.0,table
New Haven,income,Income,Population high-income,22441.0,table
Connecticut,income,Income,Population high-income,1378615.0,table
Amity,income,Income,High-income rate,0.174,map
Annex,income,Income,High-income rate,0.132,map
Beaver Hills,income,Income,High-income rate,0.233,map
Dixwell,income,Income,High-income rate,0.131,map
Downtown,income,Income,High-income rate,0.281,map
Dwight,income,Income,High-income rate,0.117,map
East Rock,income,Income,High-income rate,0.38,map
East Shore,income,Income,High-income rate,0.41,map
Edgewood,income,Income,High-income rate,0.193,map
Fair Haven,income,Income,High-income rate,0.043,map
Fair Haven Heights,income,Income,High-income rate,0.194,map
Hill,income,Income,High-income rate,0.066,map
Newhallville,income,Income,High-income rate,0.05,map
Prospect Hill,income,Income,High-income rate,0.28,map
Quinnipiac Meadows,income,Income,High-income rate,0.188,map
West River,income,Income,High-income rate,0.11,map
West Rock,income,Income,High-income rate,0.168,map
Westville,income,Income,High-income rate,0.44,map
Wooster Square/Mill River,income,Income,High-income rate,0.228,map
New Haven,income,Income,High-income rate,0.184,table
Connecticut,income,Income,High-income rate,0.396,table
Amity,income_kids,Income by age: children,"Ages 0-17, poverty status known",1278.0,table
Annex,income_kids,Income by age: children,"Ages 0-17, poverty status known",1380.0,table
Beaver Hills,income_kids,Income by age: children,"Ages 0-17, poverty status known",1507.0,table
Dixwell,income_kids,Income by age: children,"Ages 0-17, poverty status known",1012.0,table
Downtown,income_kids,Income by age: children,"Ages 0-17, poverty status known",382.0,table
Dwight,income_kids,Income by age: children,"Ages 0-17, poverty status known",794.0,table
East Rock,income_kids,Income by age: children,"Ages 0-17, poverty status known",1149.0,table
East Shore,income_kids,Income by age: children,"Ages 0-17, poverty status known",1004.0,table
Edgewood,income_kids,Income by age: children,"Ages 0-17, poverty status known",1100.0,table
Fair Haven,income_kids,Income by age: children,"Ages 0-17, poverty status known",4884.0,table
Fair Haven Heights,income_kids,Income by age: children,"Ages 0-17, poverty status known",1339.0,table
Hill,income_kids,Income by age: children,"Ages 0-17, poverty status known",4938.0,table
Newhallville,income_kids,Income by age: children,"Ages 0-17, poverty status known",1532.0,table
Prospect Hill,income_kids,Income by age: children,"Ages 0-17, poverty status known",841.0,table
Quinnipiac Meadows,income_kids,Income by age: children,"Ages 0-17, poverty status known",1347.0,table
West River,income_kids,Income by age: children,"Ages 0-17, poverty status known",942.0,table
West Rock,income_kids,Income by age: children,"Ages 0-17, poverty status known",878.0,table
Westville,income_kids,Income by age: children,"Ages 0-17, poverty status known",1673.0,table
Wooster Square/Mill River,income_kids,Income by age: children,"Ages 0-17, poverty status known",568.0,table
New Haven,income_kids,Income by age: children,"Ages 0-17, poverty status known",28547.0,table
Connecticut,income_kids,Income by age: children,"Ages 0-17, poverty status known",774939.0,table
Amity,income_kids,Income by age: children,Children in poverty,421.0,table
Annex,income_kids,Income by age: children,Children in poverty,557.0,table
Beaver Hills,income_kids,Income by age: children,Children in poverty,432.0,table
Dixwell,income_kids,Income by age: children,Children in poverty,499.0,table
Downtown,income_kids,Income by age: children,Children in poverty,139.0,table
Dwight,income_kids,Income by age: children,Children in poverty,354.0,table
East Rock,income_kids,Income by age: children,Children in poverty,198.0,table
East Shore,income_kids,Income by age: children,Children in poverty,0.0,table
Edgewood,income_kids,Income by age: children,Children in poverty,186.0,table
Fair Haven,income_kids,Income by age: children,Children in poverty,2178.0,table
Fair Haven Heights,income_kids,Income by age: children,Children in poverty,211.0,table
Hill,income_kids,Income by age: children,Children in poverty,3053.0,table
Newhallville,income_kids,Income by age: children,Children in poverty,685.0,table
Prospect Hill,income_kids,Income by age: children,Children in poverty,110.0,table
Quinnipiac Meadows,income_kids,Income by age: children,Children in poverty,591.0,table
West River,income_kids,Income by age: children,Children in poverty,376.0,table
West Rock,income_kids,Income by age: children,Children in poverty,466.0,table
Westville,income_kids,Income by age: children,Children in poverty,36.0,table
Wooster Square/Mill River,income_kids,Income by age: children,Children in poverty,263.0,table
New Haven,income_kids,Income by age: children,Children in poverty,10755.0,table
Connecticut,income_kids,Income by age: children,Children in poverty,110916.0,table
Amity,income_kids,Income by age: children,Child poverty rate,0.329,map
Annex,income_kids,Income by age: children,Child poverty rate,0.404,map
Beaver Hills,income_kids,Income by age: children,Child poverty rate,0.287,map
Dixwell,income_kids,Income by age: children,Child poverty rate,0.493,map
Downtown,income_kids,Income by age: children,Child poverty rate,0.365,map
Dwight,income_kids,Income by age: children,Child poverty rate,0.446,map
East Rock,income_kids,Income by age: children,Child poverty rate,0.172,map
East Shore,income_kids,Income by age: children,Child poverty rate,0.0,map
Edgewood,income_kids,Income by age: children,Child poverty rate,0.169,map
Fair Haven,income_kids,Income by age: children,Child poverty rate,0.446,map
Fair Haven Heights,income_kids,Income by age: children,Child poverty rate,0.158,map
Hill,income_kids,Income by age: children,Child poverty rate,0.618,map
Newhallville,income_kids,Income by age: children,Child poverty rate,0.447,map
Prospect Hill,income_kids,Income by age: children,Child poverty rate,0.131,map
Quinnipiac Meadows,income_kids,Income by age: children,Child poverty rate,0.439,map
West River,income_kids,Income by age: children,Child poverty rate,0.399,map
West Rock,income_kids,Income by age: children,Child poverty rate,0.531,map
Westville,income_kids,Income by age: children,Child poverty rate,0.022,map
Wooster Square/Mill River,income_kids,Income by age: children,Child poverty rate,0.463,map
New Haven,income_kids,Income by age: children,Child poverty rate,0.377,table
Connecticut,income_kids,Income by age: children,Child poverty rate,0.143,table
Amity,income_kids,Income by age: children,Low-income children,669.0,table
Annex,income_kids,Income by age: children,Low-income children,870.0,table
Beaver Hills,income_kids,Income by age: children,Low-income children,819.0,table
Dixwell,income_kids,Income by age: children,Low-income children,781.0,table
Downtown,income_kids,Income by age: children,Low-income children,153.0,table
Dwight,income_kids,Income by age: children,Low-income children,700.0,table
East Rock,income_kids,Income by age: children,Low-income children,381.0,table
East Shore,income_kids,Income by age: children,Low-income children,116.0,table
Edgewood,income_kids,Income by age: children,Low-income children,524.0,table
Fair Haven,income_kids,Income by age: children,Low-income children,3584.0,table
Fair Haven Heights,income_kids,Income by age: children,Low-income children,677.0,table
Hill,income_kids,Income by age: children,Low-income children,4519.0,table
Newhallville,income_kids,Income by age: children,Low-income children,1149.0,table
Prospect Hill,income_kids,Income by age: children,Low-income children,369.0,table
Quinnipiac Meadows,income_kids,Income by age: children,Low-income children,850.0,table
West River,income_kids,Income by age: children,Low-income children,711.0,table
West Rock,income_kids,Income by age: children,Low-income children,665.0,table
Westville,income_kids,Income by age: children,Low-income children,135.0,table
Wooster Square/Mill River,income_kids,Income by age: children,Low-income children,414.0,table
New Haven,income_kids,Income by age: children,Low-income children,18086.0,table
Connecticut,income_kids,Income by age: children,Low-income children,232822.0,table
Amity,income_kids,Income by age: children,Child low-income rate,0.523,map
Annex,income_kids,Income by age: children,Child low-income rate,0.63,map
Beaver Hills,income_kids,Income by age: children,Child low-income rate,0.543,map
Dixwell,income_kids,Income by age: children,Child low-income rate,0.772,map
Downtown,income_kids,Income by age: children,Child low-income rate,0.401,map
Dwight,income_kids,Income by age: children,Child low-income rate,0.882,map
East Rock,income_kids,Income by age: children,Child low-income rate,0.332,map
East Shore,income_kids,Income by age: children,Child low-income rate,0.116,map
Edgewood,income_kids,Income by age: children,Child low-income rate,0.476,map
Fair Haven,income_kids,Income by age: children,Child low-income rate,0.734,map
Fair Haven Heights,income_kids,Income by age: children,Child low-income rate,0.506,map
Hill,income_kids,Income by age: children,Child low-income rate,0.915,map
Newhallville,income_kids,Income by age: children,Child low-income rate,0.75,map
Prospect Hill,income_kids,Income by age: children,Child low-income rate,0.439,map
Quinnipiac Meadows,income_kids,Income by age: children,Child low-income rate,0.631,map
West River,income_kids,Income by age: children,Child low-income rate,0.755,map
West Rock,income_kids,Income by age: children,Child low-income rate,0.757,map
Westville,income_kids,Income by age: children,Child low-income rate,0.081,map
Wooster Square/Mill River,income_kids,Income by age: children,Child low-income rate,0.729,map
New Haven,income_kids,Income by age: children,Child low-income rate,0.634,table
Connecticut,income_kids,Income by age: children,Child low-income rate,0.3,table
Amity,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",421.0,table
Annex,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",583.0,table
Beaver Hills,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",537.0,table
Dixwell,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",528.0,table
Downtown,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",640.0,table
Dwight,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",316.0,table
East Rock,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",707.0,table
East Shore,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",860.0,table
Edgewood,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",460.0,table
Fair Haven,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",1139.0,table
Fair Haven Heights,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",1410.0,table
Hill,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",1337.0,table
Newhallville,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",836.0,table
Prospect Hill,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",437.0,table
Quinnipiac Meadows,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",563.0,table
West River,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",295.0,table
West Rock,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",448.0,table
Westville,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",1091.0,table
Wooster Square/Mill River,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",307.0,table
New Haven,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",12915.0,table
Connecticut,income_seniors,Income by age: seniors,"Ages 65+, poverty status known",520371.0,table
Amity,income_seniors,Income by age: seniors,Seniors in poverty,49.0,table
Annex,income_seniors,Income by age: seniors,Seniors in poverty,118.0,table
Beaver Hills,income_seniors,Income by age: seniors,Seniors in poverty,76.0,table
Dixwell,income_seniors,Income by age: seniors,Seniors in poverty,95.0,table
Downtown,income_seniors,Income by age: seniors,Seniors in poverty,85.0,table
Dwight,income_seniors,Income by age: seniors,Seniors in poverty,72.0,table
East Rock,income_seniors,Income by age: seniors,Seniors in poverty,48.0,table
East Shore,income_seniors,Income by age: seniors,Seniors in poverty,0.0,table
Edgewood,income_seniors,Income by age: seniors,Seniors in poverty,44.0,table
Fair Haven,income_seniors,Income by age: seniors,Seniors in poverty,336.0,table
Fair Haven Heights,income_seniors,Income by age: seniors,Seniors in poverty,81.0,table
Hill,income_seniors,Income by age: seniors,Seniors in poverty,361.0,table
Newhallville,income_seniors,Income by age: seniors,Seniors in poverty,182.0,table
Prospect Hill,income_seniors,Income by age: seniors,Seniors in poverty,28.0,table
Quinnipiac Meadows,income_seniors,Income by age: seniors,Seniors in poverty,85.0,table
West River,income_seniors,Income by age: seniors,Seniors in poverty,51.0,table
West Rock,income_seniors,Income by age: seniors,Seniors in poverty,104.0,table
Westville,income_seniors,Income by age: seniors,Seniors in poverty,89.0,table
Wooster Square/Mill River,income_seniors,Income by age: seniors,Seniors in poverty,77.0,table
New Haven,income_seniors,Income by age: seniors,Seniors in poverty,1982.0,table
Connecticut,income_seniors,Income by age: seniors,Seniors in poverty,37164.0,table
Amity,income_seniors,Income by age: seniors,Senior poverty rate,0.116,map
Annex,income_seniors,Income by age: seniors,Senior poverty rate,0.202,map
Beaver Hills,income_seniors,Income by age: seniors,Senior poverty rate,0.142,map
Dixwell,income_seniors,Income by age: seniors,Senior poverty rate,0.18,map
Downtown,income_seniors,Income by age: seniors,Senior poverty rate,0.134,map
Dwight,income_seniors,Income by age: seniors,Senior poverty rate,0.228,map
East Rock,income_seniors,Income by age: seniors,Senior poverty rate,0.068,map
East Shore,income_seniors,Income by age: seniors,Senior poverty rate,0.0,map
Edgewood,income_seniors,Income by age: seniors,Senior poverty rate,0.096,map
Fair Haven,income_seniors,Income by age: seniors,Senior poverty rate,0.295,map
Fair Haven Heights,income_seniors,Income by age: seniors,Senior poverty rate,0.057,map
Hill,income_seniors,Income by age: seniors,Senior poverty rate,0.27,map
Newhallville,income_seniors,Income by age: seniors,Senior poverty rate,0.218,map
Prospect Hill,income_seniors,Income by age: seniors,Senior poverty rate,0.064,map
Quinnipiac Meadows,income_seniors,Income by age: seniors,Senior poverty rate,0.151,map
West River,income_seniors,Income by age: seniors,Senior poverty rate,0.173,map
West Rock,income_seniors,Income by age: seniors,Senior poverty rate,0.232,map
Westville,income_seniors,Income by age: seniors,Senior poverty rate,0.082,map
Wooster Square/Mill River,income_seniors,Income by age: seniors,Senior poverty rate,0.251,map
New Haven,income_seniors,Income by age: seniors,Senior poverty rate,0.153,table
Connecticut,income_seniors,Income by age: seniors,Senior poverty rate,0.071,table
Amity,income_seniors,Income by age: seniors,Low-income seniors,124.0,table
Annex,income_seniors,Income by age: seniors,Low-income seniors,267.0,table
Beaver Hills,income_seniors,Income by age: seniors,Low-income seniors,158.0,table
Dixwell,income_seniors,Income by age: seniors,Low-income seniors,305.0,table
Downtown,income_seniors,Income by age: seniors,Low-income seniors,264.0,table
Dwight,income_seniors,Income by age: seniors,Low-income seniors,197.0,table
East Rock,income_seniors,Income by age: seniors,Low-income seniors,183.0,table
East Shore,income_seniors,Income by age: seniors,Low-income seniors,153.0,table
Edgewood,income_seniors,Income by age: seniors,Low-income seniors,243.0,table
Fair Haven,income_seniors,Income by age: seniors,Low-income seniors,772.0,table
Fair Haven Heights,income_seniors,Income by age: seniors,Low-income seniors,750.0,table
Hill,income_seniors,Income by age: seniors,Low-income seniors,722.0,table
Newhallville,income_seniors,Income by age: seniors,Low-income seniors,481.0,table
Prospect Hill,income_seniors,Income by age: seniors,Low-income seniors,43.0,table
Quinnipiac Meadows,income_seniors,Income by age: seniors,Low-income seniors,218.0,table
West River,income_seniors,Income by age: seniors,Low-income seniors,101.0,table
West Rock,income_seniors,Income by age: seniors,Low-income seniors,256.0,table
Westville,income_seniors,Income by age: seniors,Low-income seniors,208.0,table
Wooster Square/Mill River,income_seniors,Income by age: seniors,Low-income seniors,143.0,table
New Haven,income_seniors,Income by age: seniors,Low-income seniors,5588.0,table
Connecticut,income_seniors,Income by age: seniors,Low-income seniors,123911.0,table
Amity,income_seniors,Income by age: seniors,Senior low-income rate,0.295,map
Annex,income_seniors,Income by age: seniors,Senior low-income rate,0.458,map
Beaver Hills,income_seniors,Income by age: seniors,Senior low-income rate,0.294,map
Dixwell,income_seniors,Income by age: seniors,Senior low-income rate,0.578,map
Downtown,income_seniors,Income by age: seniors,Senior low-income rate,0.413,map
Dwight,income_seniors,Income by age: seniors,Senior low-income rate,0.623,map
East Rock,income_seniors,Income by age: seniors,Senior low-income rate,0.259,map
East Shore,income_seniors,Income by age: seniors,Senior low-income rate,0.178,map
Edgewood,income_seniors,Income by age: seniors,Senior low-income rate,0.528,map
Fair Haven,income_seniors,Income by age: seniors,Senior low-income rate,0.677,map
Fair Haven Heights,income_seniors,Income by age: seniors,Senior low-income rate,0.532,map
Hill,income_seniors,Income by age: seniors,Senior low-income rate,0.54,map
Newhallville,income_seniors,Income by age: seniors,Senior low-income rate,0.575,map
Prospect Hill,income_seniors,Income by age: seniors,Senior low-income rate,0.098,map
Quinnipiac Meadows,income_seniors,Income by age: seniors,Senior low-income rate,0.387,map
West River,income_seniors,Income by age: seniors,Senior low-income rate,0.342,map
West Rock,income_seniors,Income by age: seniors,Senior low-income rate,0.571,map
Westville,income_seniors,Income by age: seniors,Senior low-income rate,0.191,map
Wooster Square/Mill River,income_seniors,Income by age: seniors,Senior low-income rate,0.466,map
New Haven,income_seniors,Income by age: seniors,Senior low-income rate,0.433,table
Connecticut,income_seniors,Income by age: seniors,Senior low-income rate,0.238,table
